English,Spanish
I,Yo
The,Él
To,Para
A,Un
It,Eso
And,Y
That,Ese
Of,De
Is,Es
In,En
What,Qué
We,Nosotros
Me,Me
This,Este
He,Él
For,Para
My,Mi
On,Sobre
Have,Tener
Your,Su
Do,Hacer
Was,Era
No,No
Not,No
Be,Ser
Are,Son
Done,Hecho
Re,Re
Know,Saber
Can,Pueden
With,Con
But,Pero
All,Todos
So,Asi Que
Just,Sólo
There,Allá
Here,Aquí
They,Ellos
Like,Me Gusta
Will,Será
Get,Conseguir
She,Ella
Go,Vamos
If,Si
Right,Derecha
Out,Afuera
About,Acerca De
Up,Arriba
At,En
Him,A Él
Now,Ahora
Oh,Vaya
One,Uno
Come,Ven
Well,Bien
Her,Ella
How,Cómo
Yeah,Sí
Ve,Ve
Will,Será
Got,Tiene
Want,Querer
Think,Pensar
As,Como
See,Ver
Did,Hizo
Good,Bueno
Who,Quién
Why,Por Qué
From,Desde
Let,Dejar
His,Su
Yes,Sí
When,Cuando
Going,Yendo
Time,Tiempo
An,Un
Okay,Okey
Back,Atrás
Look,Mirar
Us,A Nosotros
Would,Haría
Them,A Ellos
Where,Donde
Were,Fueron
Take,Tomar
Then,Entonces
Had,Tuvo
Or,O
Been,Estado
Our,Nuestro
Gonna,Ir A
Tell,Contar
Really,En Realidad
Man,Hombre
Some,Algunos
Say,Decir
Hey,Oye
Could,Podría
D,D
Didn,Didn
By,Por
Need,Necesidad
Something,Algo
Has,Posee
Too,También
More,Más
Way,Camino
Down,Abajo
Make,Hacer
Very,Muy
Never,Nunca
Only,Solamente
People,Gente
Over,Terminado
Because,Porque
Little,Pequeño
Please,Por Favor
Love,Amar
Should,Debería
Mean,Significar
Said,Dicho
Sorry,Lo Siento
Give,Dar
Off,Apagado
Am,Soy
Thank,Gracias
Any,Ninguna
Two,Dos
Even,Incluso
Much,Mucho
Doing,Haciendo
Sure,Por Supuesto
Thing,Cosa
These,Estos
Help,Ayudar
First,Primero
Into,En
Anything,Cualquier Cosa
Still,Quieto
Find,Encontrar
Life,La Vida
Nothing,Ninguna Cosa
Sir,Señor
Day,Día
God,Dios
Work,Trabaja
Their,Su
Uh,Oh
Again,Otra Vez
Maybe,Quizás
Must,Deber
Before,Antes
Other,Otro
Wait,Esperar
Stop,Detenerse
Call,Llamar
After,Después
Won,Ganó
Talk,Hablar
Away,Lejos
Than,Que
Thought,Pensamiento
Home,Casa
Night,Noche
Put,Poner
Great,Estupendo
Those,Aquellas
Last,Ultimo
Better,Mejor
Everything,Todo
Told,Dijo
Mr.,Señor.
New,Nuevo
Things,Cosas
Always,Siempre
Keep,Mantenerse
Long,Largo
Years,Años
Leave,Abandonar
Does,Hace
Money,Dinero
Around,Alrededor
Doesn,No Tiene
Name,Nombre
Place,Lugar
Ever,Alguna Vez
Feel,Sentir
Guys,Tipos
Father,Padre
Guy,Chico
Made,Hecho
Old,Antiguo
Isn,Isn
Which,Cual
Big,Grande
Lot,Lote
Done,Hecho
Hello,Hola
Nice,Lindo
Believe,Creer
Girl,Muchacha
Someone,Alguien
Fine,Bien
Thanks,Gracias
Wanted,Querido
Kind,Clase
Coming,Viniendo
House,Casa
Every,Todos
Ok,De Acuerdo
Through,A Través De
Being,Ser
Course,Curso
Stay,Permanecer
Left,Izquierda
Dad,Padre
Enough,Suficiente
Happened,Sucedió
Came,Llegó
May,Puede
Mother,Madre
Wrong,Equivocado
World,Mundo
Bad,Malo
Might,Podría
Three,Tres
Today,Hoy Dia
Listen,Escucha
Another,Otro
Understand,Entender
Hear,Escuchar
Remember,Recordar
Ask,Pedir
Own,Propio
Same,Mismo
Show,Show
Else,Demás
Kill,Matar
Talking,Hablando
Found,Encontrado
Next,Próximo
Getting,Consiguiendo
Care,Cuidado
Car,Coche
Looking,Buscando
Son,Hijo
Try,Tratar
Woman,Mujer
Went,Se Fue
Hi,Hola
Dead,Muerto
Many,Muchos
Mind,Mente
Wasn,Wasn
Friend,Amigo
Best,Mejor
Mom,Mamá
Hell,Infierno
Morning,Mañana
Trying,Difícil
Boy,Chico
Together,Juntos
Yourself,Tú Mismo
Job,Trabajo
Saw,Vio
Family,Familia
Real,Real
Without,Sin
Baby,Bebé
Room,Habitación
Wouldn,Sería
Already,Ya
Move,Moverse
Most,La Mayoría
Seen,Visto
Live,Vivir
Miss,Señorita
Actually,Realmente
Huh,Eh
Shit,Mierda
Both,Ambas Cosas
Heard,Escuchó
Once,Una Vez
Ready,Listo
Head,Cabeza
Called,Llamado
Used,Utilizado
Idea,Ocurrencia
Knew,Supo
Hold,Mantener
Happy,Feliz
Door,Puerta
Such,Tal
Fuck,Mierda
Brother,Hermano
Also,También
Pretty,Lindo
Bit,Poco
Took,Tomó
Haven,Refugio
Yet,Aún
Men,Hombres
Whole,Todo
Start,Comienzo
Use,Usar
While,Mientras
Since,Ya Que
Wife,Esposa
Days,Dias
Guess,Adivinar
Tomorrow,Mañana
Matter,Materia
Meet,Reunir
Bring,Traer
Tonight,Esta Noche
Everyone,Todo El Mundo
Run,Correr
Wanna,Querer
Hard,Difícil
Ah,Ah
Alone,Solo
Myself,Mí Mismo
School,Colegio
Gone,Ido
End,Fin
Saying,Diciendo
Phone,Teléfono
Play,Jugar
Looks,Aspecto
Couldn,No Podría
Fucking,Maldito
Problem,Problema
Few,Pocos
Friends,Amigos
Gotta,Tengo Que
Ago,Atrás
Open,Abierto
Anyone,Cualquiera
Killed,Delicado
Hope,Esperar
Face,Rostro
Until,Hasta
Lost,Perdió
Police,Policía
Excuse,Disculpar
Turn,Doblar
Business,Negocio
Case,Caso
Wants,Quiere
Says,Dice
True,Verdadero
Die,Morir
Heart,Corazón
Soon,Pronto
Each,Cada
Worry,Preocuparse
Later,Luego
Year,Año
Watch,Reloj
Music,Música
Hand,Mano
Having,Tener
Probably,Probablemente
Beautiful,Hermoso
Doctor,Doctor
Sit,Sentar
Eat,Come
Thinking,Pensamiento
Young,Joven
Second,Segundo
Working,Trabajando
Water,Agua
Person,Persona
Part,Parte
Kids,Niños
Late,Tarde
Stuff,Cosa
Exactly,Exactamente
Under,Por Debajo
Death,Muerte
Minute,Minuto
Pay,Pagar
Crazy,Loco
Forget,Olvidar
Everybody,Todos
Kid,Niño
Change,Cambio
Gave,Dio
Happen,Ocurrir
Damn,Maldita Sea
Five,Cinco
Drink,Beber
Far,Lejos
Knows,Conocido
Its,Su
Whatever,Lo Que
Eyes,Ojos
Shut,Cerrado
Hit,Pegar
Taking,Tomando
Easy,Fácil
Times,Veces
Check,Cheque
Hands,Manos
Minutes,Minutos
Deal,Negociar
Different,Diferente
Means,Significa
Point,Punto
Inside,En El Interior
Makes,Hace
Asked,Preguntó
Somebody,Alguien
Mine,Mía
Making,Haciendo
Body,Cuerpo
Afraid,Temeroso
Sleep,Dormir
Chance,Oportunidad
Dear,Estimado
Quite,Bastante
Four,Cuatro
Anyway,De Todas Formas
Close,Cerrar
Ain,Ain
Party,Fiesta
Fun,Divertido
Against,Contra
Word,Palabra
Comes,Viene
Important,Importante
Set,Colocar
Shall,Deberá
Story,Historia
Number,Número
Daughter,Hija
Least,Menos
Waiting,Esperando
Hurt,Herir
Wish,Deseo
Moment,Momento
Fight,Pelear
Week,Semana
Husband,Esposo
Girls,Muchachas
Rest,Descanso
Married,Casado
Fire,Fuego
Game,Juego
Nobody,Nadie
Mr,Señor
Children,Niños
Side,Lado
Stand,Permanecer
Read,Leer
Though,Aunque
Cut,Cortar
Started,Comenzó
Sister,Hermana
Supposed,Supuesto
Between,Entre
Child,Niño
Goes,Va
Hours,Horas
Speak,Hablar
Women,Mujeres
Behind,Detrás
Almost,Casi
Truth,Verdad
Blood,Sangre
Able,Poder
Lady,Señora
Anymore,Ya No
Playing,Jugando
Gets,Obtiene
Shot,Disparo
Reason,Razón
Trouble,Problema
Break,Romper
War,Guerra
City,Ciudad
Walk,Andar
Town,Pueblo
Trust,Confianza
Dr.,Dr.
Met,Reunió
Office,Oficina
Question,Pregunta
Brought,Trajo
Yours,Tuya
Welcome,Bienvenido
High,Alto
Wow,Guau
Couple,Pareja
Half,Medio
Died,Murió
Cool,Frio
Free,Gratis
Either,O
Seems,Parece
Power,Energía
Whoa,Whoa
Bye,Adiós
Buy,Comprar
Telling,Narración
Honey,Miel
Tried,Intentó
Front,Parte Delantera
Team,Equipo
Answer,Responder
Gun,Pistola
Boys,Niños
Line,Línea
Send,Enviar
News,Noticias
Stupid,Tonto
Bed,Cama
Hurry,Apurarse
Full,Lleno
Months,Meses
Save,Guardar
Sometimes,Algunas Veces
Become,Volverse
Along,A Lo Largo De
Hate,Odio
Food,Alimento
Outside,Fuera
Light,Luz
Needs,Necesidades
Dog,Perro
Country,País
Clear,Claro
Order,Pedido
Em,Em
Fact,Hecho
Lord,Señor
Captain,Capitán
Six,Seis
Hot,Caliente
Funny,Divertido
Black,Negro
Mrs.,Sra.
Alive,Vivo
Pick,Elegir
Feeling,Sentimiento
Living,Viviendo
Cause,Causa
Ahead,Adelante
Lose,Perder
King,Rey
Plan,Plan
Dinner,Cena
Sighs,Suspiro
Sort,Clasificar
Leaving,Dejando
Shouldn,Debería
Running,Corriendo
Boss,Jefe
Alright,Bien
Promise,Promesa
Taken,Tomado
Safe,A Salvo
Book,Libro
Sent,Enviado
White,Blanco
Hour,Hora
Anybody,Cualquiera
Small,Pequeña
Perfect,Perfecto
Cause,Causa
Lives,Vive
Special,Especial
Parents,Padres
John,John
Himself,Él Mismo
Perhaps,Quizás
Sounds,Sonidos
Serious,Grave
Sick,Enfermo
Company,Empresa
Scared,Asustado
Uncle,Tío
Poor,Pobre
Red,Rojo
Past,Pasado
Earth,Tierra
Possible,Posible
Shoot,Disparo
Touch,Toque
Sound,Sonar
Top,Cima
Ass,Culo
Laughs,Risa
Cannot,No Poder
Asking,Pidiendo
Win,Ganar
Glad,Contento
Control,Control
Hmm,Mmm
Human,Humano
Drive,Manejar
Hair,Pelo
Jack,Jacobo
Bitch,Perra
Luck,Suerte
Murder,Asesinato
Happens,Sucede
Air,Aire
Ten,Diez
Daddy,Papá
Finally,Por Fin
Chuckles,Risitas
Fast,Rápido
Cold,Frío
Seem,Parecer
Laughing,Risa
Words,Palabras
Hospital,Hospital
Street,Calle
Hang,Colgar
Dance,Baile
Meeting,Reunión
Till,Hasta
Others,Otros
Catch,Captura
Follow,Seguir
Sense,Sentido
Sex,Sexo
Lie,Mentir
Evening,Anochecer
Master,Maestría
Known,Conocido
Dream,Sueño
Write,Escribe
Million,Millón
Voice,Voz
Sweet,Dulce
Rather,Bastante
Felt,Sintió
Sign,Señal
Lucky,Suerte
Somewhere,En Algún Lugar
Bet,Apuesta
Longer,Más Extenso
Calling,Vocación
Worked,Trabajó
Quiet,Tranquilo
Looked,Mirado
Less,Menos
Pull,Tirar
Beat,Golpear
Careful,Cuidadoso
Coffee,Café
Return,Devolver
Secret,Secreto
Weeks,Semanas
Weren,Sentimiento
Date,Fecha
Seeing,Vidente
Fall,Otoño
Given,Dado
Fault,Culpa
Straight,Derecho
Takes,Acepta
Song,Canción
Future,Futuro
Gentlemen,Caballeros
Loved,Amado
Changed,Cambió
Road,La Carretera
Calm,Tranquilo
Wonderful,Maravilloso
Mad,Loco
Turned,Convertido
Drop,Gota
Ladies,Señoras
Learn,Aprender
Step,Paso
Absolutely,Absolutamente
Early,Temprano
Explain,Explique
Clean,Limpio
Piece,Pedazo
Yesterday,El Dia De Ayer
Throw,Tirar
Picture,Imagen
Land,Tierra
Feet,Pies
Wonder,Preguntarse
Questions,Preguntas
Speaking,Discurso
Worth,Valor
Darling,Querido
Dude,Amigo
Giving,Donación
President,Presidente
Eye,Ojo
Quick,Rápido
Moving,Moviente
Figure,Figura
State,Expresar
Strong,Fuerte
Sam,Sam
None,Ninguna
Amazing,Increíble
Ones,Unos
Works,Obras
Act,Actuar
Needed,Necesario
Weird,Extraño
Law,Ley
Worried,Preocupado
Report,Reporte
Goodbye,Adiós
Missing,Perdido
Choice,Elección
Happening,Sucediendo
Chief,Jefe
Wedding,Boda
Strange,Extraño
General,General
Pain,Dolor
Am,Soy
Kidding,Bromear
Decided,Decidió
Pass,Aprobar
Tired,Cansado
Class,Clase
Officer,Oficial
Kept,Mantuvo
Wake,Despertar
Worse,Peor
Busy,Ocupado
Eh,Eh
Mistake,Error
Kiss,Beso
Court,Corte
Building,Edificio
Finish,Terminar
During,Durante
Age,Edad
Ship,Barco
Caught,Atrapó
Marry,Casar
Meant,Quiso Decir
Sell,Vender
Dark,Oscuro
Watching,Mirando
System,Sistema
Suppose,Suponer
Evidence,Evidencia
Movie,Película
Ride,Montar
Completely,Completamente
Mouth,Boca
Totally,Totalmente
Birthday,Cumpleaños
Tv,Televisión
Forgive,Perdonar
Born,Nacido
Imagine,Imagina
Information,Información
Instead,En Cambio
Definitely,Definitivamente
Security,Seguridad
Certainly,Ciertamente
Film,Película
Month,Mes
Lying,Situado
Unless,A No Ser Que
Train,Tren
Seven,Siete
Wear,Vestir
Clothes,Ropa
Michael,Miguel
Hotel,Hotel
Christmas,Navidad
Attack,Ataque
Hasn,No
Round,Redondo
Expect,Esperar
Sing,Cantar
Terrible,Terrible
George,Jorge
Bag,Bolso
History,Historia
Blue,Azul
Near,Cerca
Broke,Rompió
Station,Estación
Seriously,En Serio
Forever,Para Siempre
David,David
Frank,Franco
Except,Excepto
Thinks,Piensa
Message,Mensaje
Entire,Entero
Table,Mesa
Talked,Habló
Across,En
Rock,Rock
Lovely,Precioso
Handle,Resolver
Middle,Medio
Buddy,Compañero
Paid,Pagado
Protect,Proteger
Using,Utilizando
Floor,Piso
Ran,Corrió
Swear,Jurar
Spend,Gastar
Situation,Situación
Ring,Anillo
Anywhere,En Cualquier Sitio
Dangerous,Peligroso
Bill,Factura
York,York
Army,Ejército
Lead,Plomo
Bought,Comprado
Finished,Acabado
Fair,Justo
Sun,Sol
Letter,Carta
Fool,Engañar
Attention,Atención
Club,Club
Simple,Sencillo
Interesting,Interesante
Space,Espacio
Test,Prueba
Box,Caja
Group,Grupo
Single,Soltero
Sitting,Sesión
Marriage,Casamiento
Join,Entrar
Fear,Miedo
Peace,Paz
Forgot,Olvidó
Force,Fuerza
Short,Corto
Normal,Normal
Present,Presente
Enjoy,Disfrutar
Crime,Delito
Horse,Caballo
Ground,Tierra
American,Americano
Count,Contar
Area,Área
Charge,Cargo
Honor,Honor
Lunch,Almuerzo
Miles,Millas
Radio,Radio
Idiot,Estúpido
Ball,Pelota
Surprise,Sorpresa
Paper,Papel
Key,Llave
Boat,Bote
Quickly,Con Rapidez
Gold,Oro
Bar,Bar
Fish,Pescado
Mark,Marca
Wearing,Vistiendo
Crying,Llanto
Accident,Accidente
Government,Gobierno
Eight,Ocho
Fell,Cayó
Cover,Cubrir
Certain,Determinado
Interested,Interesado
Deep,Profundo
Star,Estrella
Sea,Mar
Agree,Aceptar
Problems,Problemas
Detective,Detective
Prison,Prisión
Major,Principal
Stick,Vara
Offer,Oferta
Difficult,Difícil
Smart,Elegante
Personal,Personal
Record,Registro
Stopped,Detenido
Hide,Esconder
Whether,Si
Bank,Banco
Trip,Viaje
Relax,Relax
Public,Público
List,Lista
Afternoon,Tarde
Brain,Cerebro
Fix,Arreglar
Bastard,Bastardo
Proud,Orgulloso
Tea,Té
Service,Servicio
Screaming,Gritando
Forward,Delantero
Angry,Enojado
Park,Parque
Soul,Alma
Fighting,Lucha
Peter,Peter
Rich,Rico
Agent,Agente
Blow,Soplar
Paul,Pablo
Dress,Vestir
Missed,Omitido
Scene,Escena
Killing,Asesinato
Standing,En Pie
Saved,Salvado
Respect,Respeto
Killer,Asesino
Ice,Hielo
Mess,Lío
Tough,Pese
Feels,Siente
Church,Iglesia
Sad,Triste
Cell,Celúla
Drunk,Borracho
Share,Cuota
Camera,Cámara
Within,Dentro De
Card,Tarjeta
Fly,Mosca
Ben,Ben
Girlfriend,Novia
Laugh,Reír
Smell,Oler
Broken,Roto
Honest,Honesto
Often,A Menudo
Starting,A Partir De
Calls,Llamadas
Spent,Gastó
Third,Tercera
English,Inglés
Visit,Visitar
Mama,Mamá
Judge,Juez
Window,Ventana
Hungry,Hambriento
Dare,Atrevimiento
Relationship,Relación
Moved,Movido
Prove,Demostrar
Private,Privado
Wall,Pared
Seat,Asiento
Position,Posición
Lieutenant,Teniente
Realize,Darse Cuenta De
It,Eso
Especially,Especialmente
Machine,Máquina
Walking,Caminando
Art,Arte
Pleasure,Placer
